"109年01月08日 三大法人買賣超日報"
"證券代號","證券名稱","外陸資買進股數(不含外資自營商)","外陸資賣出股數(不含外資自營商)","外陸資買賣超股數(不含外資自營商)","外資自營商買進股數","外資自營商賣出股數","外資自營商買賣超股數","投信買進股數","投信賣出股數","投信買賣超股數","自營商買賣超股數","自營商買進股數(自行買賣)","自營商賣出股數(自行買賣)","自營商買賣超股數(自行買賣)","自營商買進股數(避險)","自營商賣出股數(避險)","自營商買賣超股數(避險)","三大法人買賣超股數",
"3481","群創            ","74,654,000","33,588,000","41,066,000","0","0","0","17,765,000","0","17,765,000","20,811,000","7,547,000","536,000","7,011,000","20,535,000","6,735,000","13,800,000","79,642,000",
"2337","旺宏            ","26,803,000","7,075,000","19,728,000","0","0","0","1,821,000","0","1,821,000","250,000","975,000","810,000","165,000","697,000","612,000","85,000","21,799,000",
="00672L","元大S&P原油正2  ","8,377,000","16,250,000","-7,873,000","0","0","0","0","0","0","14,185,000","710,000","475,000","235,000","43,968,000","30,018,000","13,950,000","6,312,000",
"2368","金像電          ","5,925,000","1,501,000","4,424,000","0","0","0","0","0","0","455,000","930,000","475,000","455,000","0","0","0","4,879,000",
"2408","南亞科          ","12,409,000","9,029,000","3,380,000","0","0","0","985,000","0","985,000","360,000","359,000","185,000","174,000","322,000","136,000","186,000","4,725,000",
="054268","健策第一96購01  ","0","0","0","0","0","0","0","0","0","3,961,000","0","0","0","4,464,000","503,000","3,961,000","3,961,000",
="053186","健策中信9C購01  ","0","0","0","0","0","0","0","0","0","3,894,000","0","0","0","3,954,000","60,000","3,894,000","3,894,000",
"2448","晶電            ","5,200,000","1,763,000","3,437,000","0","0","0","3,000","0","3,000","371,000","574,000","203,000","371,000","0","0","0","3,811,000",
"2886","兆豐金          ","10,839,000","7,695,000","3,144,000","0","0","0","210,000","8,000","202,000","156,000","0","64,000","-64,000","223,000","3,000","220,000","3,502,000",
="03662P","聯發科兆豐92售03","0","0","0","0","0","0","0","0","0","3,270,000","0","0","0","3,270,000","0","3,270,000","3,270,000",
="00738U","元大道瓊白銀    ","1,988,000","0","1,988,000","0","0","0","0","0","0","974,000","0","50,000","-50,000","1,940,000","916,000","1,024,000","2,962,000",
="03648C","T50反1元大96牛07","0","0","0","0","0","0","0","0","0","2,890,000","0","0","0","2,890,000","0","2,890,000","2,890,000",
"3034","聯詠            ","4,543,054","1,802,072","2,740,982","0","0","0","289,000","10,000","279,000","-163,000","76,000","204,000","-128,000","120,000","155,000","-35,000","2,856,982",
="00861","元大全球未來通訊","2,000","65,000","-63,000","0","0","0","0","0","0","2,532,000","35,000","0","35,000","5,112,000","2,615,000","2,497,000","2,469,000",
="054074","健策富邦98購01  ","0","0","0","0","0","0","0","0","0","2,466,000","0","0","0","2,541,000","75,000","2,466,000","2,466,000",
="046173","聯發科永豐92購01","0","0","0","0","0","0","0","0","0","2,377,000","0","0","0","4,262,000","1,885,000","2,377,000","2,377,000",
"1102","亞泥            ","5,079,600","3,086,000","1,993,600","0","0","0","0","0","0","176,000","52,000","30,000","22,000","257,000","103,000","154,000","2,169,600",
="051488","健策凱基96購04  ","0","0","0","0","0","0","0","0","0","2,041,000","0","0","0","2,316,000","275,000","2,041,000","2,041,000",
"2382","廣達            ","3,930,000","2,026,854","1,903,146","0","0","0","63,000","0","63,000","37,000","26,000","55,000","-29,000","115,000","49,000","66,000","2,003,146",
="08582P","臺股指元大9C售30","0","0","0","0","0","0","0","0","0","2,000,000","0","0","0","2,000,000","0","2,000,000","2,000,000",
"1909","榮成            ","3,230,037","1,243,000","1,987,037","0","0","0","0","0","0","-82,000","10,000","92,000","-82,000","0","0","0","1,905,037",
="051773","元大金中信95購02","3,000","0","3,000","0","0","0","0","0","0","1,786,000","0","0","0","1,789,000","3,000","1,786,000","1,789,000",
="04571P","華新科國泰95售03","0","0","0","0","0","0","0","0","0","1,770,000","0","0","0","1,994,000","224,000","1,770,000","1,770,000",
="04512P","臺股指元大94售07","0","0","0","0","0","0","0","0","0","1,758,000","0","0","0","2,070,000","312,000","1,758,000","1,758,000",
"1536","和大            ","656,000","781,000","-125,000","0","0","0","1,683,000","2,000","1,681,000","183,000","245,000","107,000","138,000","216,000","171,000","45,000","1,739,000",
="051133","台積電永豐95購02","0","0","0","0","0","0","0","0","0","1,734,000","0","0","0","3,907,000","2,173,000","1,734,000","1,734,000",
="05305P","華新科國泰97售01","0","0","0","0","0","0","0","0","0","1,719,000","0","0","0","1,844,000","125,000","1,719,000","1,719,000",
="047282","啟碁永豐93購01  ","0","0","0","0","0","0","0","0","0","1,701,000","0","0","0","1,701,000","0","1,701,000","1,701,000",
="00708L","元大S&P黃金正2  ","6,000","177,000","-171,000","0","0","0","0","0","0","1,806,000","0","480,000","-480,000","7,947,000","5,661,000","2,286,000","1,635,000",
"2327","國巨            ","6,888,671","5,113,128","1,775,543","0","0","0","537,000","564,000","-27,000","-164,000","254,000","450,000","-196,000","253,000","221,000","32,000","1,584,543",
"2409","友達            ","28,161,000","34,609,000","-6,448,000","0","0","0","2,328,000","1,000,000","1,328,000","6,677,000","4,725,000","59,000","4,666,000","2,869,000","858,000","2,011,000","1,557,000",
"8996","高力            ","1,862,000","421,000","1,441,000","0","0","0","0","0","0","111,000","145,000","34,000","111,000","0","0","0","1,552,000",
"2492","華新科          ","5,423,870","4,726,000","697,870","0","0","0","490,000","40,000","450,000","397,000","251,000","277,000","-26,000","482,000","59,000","423,000","1,544,870",
"2313","華通            ","7,896,000","4,358,000","3,538,000","0","0","0","479,000","714,000","-235,000","-1,832,000","891,000","1,354,000","-463,000","119,000","1,488,000","-1,369,000","1,471,000",
"2892","第一金          ","4,893,000","4,585,000","308,000","0","0","0","197,000","0","197,000","949,000","1,001,000","56,000","945,000","4,000","0","4,000","1,454,000",
="00643","群益深証中小    ","352,000","0","352,000","0","0","0","0","0","0","1,060,000","0","0","0","1,308,000","248,000","1,060,000","1,412,000",
"8271","宇瞻            ","1,605,000","198,000","1,407,000","0","0","0","0","0","0","-1,000","0","1,000","-1,000","0","0","0","1,406,000",
"4938","和碩            ","4,502,000","2,921,000","1,581,000","0","0","0","6,000","0","6,000","-222,000","11,000","31,000","-20,000","105,000","307,000","-202,000","1,365,000",
="049269","超眾元大96購02  ","0","0","0","0","0","0","0","0","0","1,316,000","0","0","0","1,386,000","70,000","1,316,000","1,316,000",
="006207","FH滬深          ","0","0","0","0","0","0","0","0","0","1,303,000","0","0","0","1,801,000","498,000","1,303,000","1,303,000",
="03987P","亞光群益93售02  ","0","0","0","0","0","0","0","0","0","1,276,000","0","0","0","1,367,000","91,000","1,276,000","1,276,000",
="04995P","台達電凱基96售03","0","0","0","0","0","0","0","0","0","1,253,000","0","0","0","1,331,000","78,000","1,253,000","1,253,000",
="051836","華通國泰95購02  ","0","0","0","0","0","0","0","0","0","1,225,000","0","0","0","1,233,000","8,000","1,225,000","1,225,000",
="05895P","奇力新群益96售03","0","0","0","0","0","0","0","0","0","1,209,000","0","0","0","1,530,000","321,000","1,209,000","1,209,000",
="05536P","奇力新元大96售03","0","0","0","0","0","0","0","0","0","1,201,000","0","0","0","1,411,000","210,000","1,201,000","1,201,000",
="00639","富邦深100       ","0","25,000","-25,000","0","0","0","0","0","0","1,218,000","0","0","0","1,976,000","758,000","1,218,000","1,193,000",
"3665","貿聯-KY         ","1,894,000","973,000","921,000","0","0","0","263,000","0","263,000","3,000","111,000","157,000","-46,000","331,000","282,000","49,000","1,187,000",
"6251","定穎            ","1,209,000","225,000","984,000","0","0","0","0","0","0","167,000","200,000","33,000","167,000","0","0","0","1,151,000",
="054640","健策中信9B購01  ","0","0","0","0","0","0","0","0","0","1,129,000","0","0","0","1,394,000","265,000","1,129,000","1,129,000",
="052225","台積電凱基96購03","0","0","0","0","0","0","0","0","0","1,121,000","0","0","0","2,100,000","979,000","1,121,000","1,121,000",
="03063P","臺股指凱基04售03","0","0","0","0","0","0","0","0","0","1,111,000","0","0","0","1,111,000","0","1,111,000","1,111,000",
="00636","國泰中國A50     ","100","0","100","0","0","0","0","0","0","1,107,000","10,000","0","10,000","1,235,000","138,000","1,097,000","1,107,100",
="047420","全新富邦97購01  ","0","0","0","0","0","0","0","0","0","1,093,000","0","0","0","1,213,000","120,000","1,093,000","1,093,000",
="04550P","超眾元大94售01  ","0","0","0","0","0","0","0","0","0","1,086,000","0","0","0","1,154,000","68,000","1,086,000","1,086,000",
="044429","元金2X元大94購04","0","0","0","0","0","0","0","0","0","1,070,000","0","0","0","1,306,000","236,000","1,070,000","1,070,000",
="045535","A50正2群益94購01","0","0","0","0","0","0","0","0","0","1,067,000","0","0","0","1,067,000","0","1,067,000","1,067,000",
="052317","台積電元大96購11","0","0","0","0","0","0","0","0","0","1,064,000","0","0","0","1,391,000","327,000","1,064,000","1,064,000",
="040430","和大群益92購01  ","0","0","0","0","0","0","0","0","0","1,062,000","0","0","0","1,112,000","50,000","1,062,000","1,062,000",
="051799","台積電永豐96購01","0","0","0","0","0","0","0","0","0","1,018,000","0","0","0","1,097,000","79,000","1,018,000","1,018,000",
="050754","元金2X元富9B購01","0","0","0","0","0","0","0","0","0","1,014,000","0","0","0","1,871,000","857,000","1,014,000","1,014,000",
"2312","金寶            ","2,293,000","1,199,000","1,094,000","0","0","0","0","0","0","-83,000","252,000","35,000","217,000","32,000","332,000","-300,000","1,011,000",
