證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數
054640,健策中信9B購01  ,0,0,0,0,0,0,0,0,0,9573000,0,0,0,9819000,246000,9573000,9573000
2408,南亞科          ,12121000,3124000,8997000,0,0,0,456000,195000,261000,82000,123000,190000,-67000,502000,353000,149000,9340000
2376,技嘉            ,9357000,2896000,6461000,0,0,0,755000,0,755000,1017000,186000,241000,-55000,1489000,417000,1072000,8233000
4927,泰鼎-KY         ,5376000,1262000,4114000,0,0,0,2246000,0,2246000,1815000,768000,432000,336000,1946000,467000,1479000,8175000
2454,聯發科          ,10893866,4454760,6439106,0,0,0,8000,187000,-179000,-249000,26000,137000,-111000,76000,214000,-138000,6011106
0056,元大高股息      ,17050,7000,10050,0,0,0,30000,0,30000,5474000,30000,0,30000,6187000,743000,5444000,5514050
054400,健策永豐96購02  ,0,0,0,0,0,0,0,0,0,4502000,0,0,0,4528000,26000,4502000,4502000
2317,鴻海            ,17369588,11199600,6169988,0,0,0,0,124000,-124000,-2087000,58000,318000,-260000,218000,2045000,-1827000,3958988
055417,健策富邦98購02  ,0,0,0,0,0,0,0,0,0,3828000,0,0,0,3828000,0,3828000,3828000
1504,東元            ,4975000,1431638,3543362,0,0,0,0,0,0,168000,56000,0,56000,112000,0,112000,3711362
054713,國巨中信9B購01  ,0,0,0,0,0,0,0,0,0,3487000,0,0,0,4549000,1062000,3487000,3487000
6153,嘉聯益          ,4390692,1520000,2870692,0,0,0,0,0,0,504000,165000,176000,-11000,850000,335000,515000,3374692
3481,群創            ,29412892,20341000,9071892,0,0,0,600000,1324000,-724000,-5032000,312000,4524000,-4212000,463000,1283000,-820000,3315892
6269,台郡            ,7897000,4641594,3255406,0,0,0,165000,0,165000,-149000,375000,358000,17000,44000,210000,-166000,3271406
051368,國泰金富邦97購01,0,0,0,0,0,0,0,0,0,3233000,0,0,0,3237000,4000,3233000,3233000
03021P,玉晶光群益02售25,0,0,0,0,0,0,0,0,0,2916000,0,0,0,2918000,2000,2916000,2916000
051259,鴻海永昌96購03  ,0,0,0,0,0,0,0,0,0,2749000,0,0,0,5594000,2845000,2749000,2749000
053856,台積電富邦98購01,0,0,0,0,0,0,0,0,0,2741000,0,0,0,2920000,179000,2741000,2741000
3189,景碩            ,4228000,642000,3586000,0,0,0,9000,0,9000,-907000,8000,83000,-75000,45000,877000,-832000,2688000
3005,神基            ,3174000,1014000,2160000,0,0,0,0,0,0,520000,192000,0,192000,493000,165000,328000,2680000
2891,中信金          ,13003594,10840803,2162791,0,0,0,206000,0,206000,309000,500000,100000,400000,169000,260000,-91000,2677791
00673R,元大S&P原油反1  ,2000,1074000,-1072000,0,0,0,0,0,0,3643000,0,0,0,3812000,169000,3643000,2571000
054268,健策第一96購01  ,0,0,0,0,0,0,0,0,0,2222000,0,0,0,2447000,225000,2222000,2222000
2377,微星            ,2639000,749000,1890000,0,0,0,277000,0,277000,47000,79000,162000,-83000,232000,102000,130000,2214000
054072,台積電富邦98購02,0,0,0,0,0,0,0,0,0,2205000,0,0,0,2280000,75000,2205000,2205000
056101,光磊永豐98購01  ,0,0,0,0,0,0,0,0,0,2202000,0,0,0,3057000,855000,2202000,2202000
052314,鴻海元大96購11  ,0,0,0,0,0,0,0,0,0,2082000,0,0,0,3489000,1407000,2082000,2082000
