"109年02月25日 三大法人買賣超日報"
"證券代號","證券名稱","外陸資買進股數(不含外資自營商)","外陸資賣出股數(不含外資自營商)","外陸資買賣超股數(不含外資自營商)","外資自營商買進股數","外資自營商賣出股數","外資自營商買賣超股數","投信買進股數","投信賣出股數","投信買賣超股數","自營商買賣超股數","自營商買進股數(自行買賣)","自營商賣出股數(自行買賣)","自營商買賣超股數(自行買賣)","自營商買進股數(避險)","自營商賣出股數(避險)","自營商買賣超股數(避險)","三大法人買賣超股數",
="00677U","富邦VIX         ","131,048,000","7,793,000","123,255,000","0","0","0","0","0","0","192,704,000","2,000,000","725,000","1,275,000","193,589,000","2,160,000","191,429,000","315,959,000",
="00669R","國泰美國道瓊反1 ","106,000","0","106,000","0","0","0","0","0","0","22,263,000","0","0","0","23,197,000","934,000","22,263,000","22,369,000",
="00648R","元大S&P500反1   ","224,000","0","224,000","0","0","0","0","0","0","15,056,000","0","0","0","15,258,000","202,000","15,056,000","15,280,000",
"2317","鴻海            ","24,967,626","16,355,292","8,612,334","0","0","0","104,000","147,000","-43,000","2,069,000","189,000","186,000","3,000","2,252,000","186,000","2,066,000","10,638,334",
="00671R","富邦NASDAQ反1   ","171,000","4,000","167,000","0","0","0","0","0","0","10,116,000","0","0","0","10,378,000","262,000","10,116,000","10,283,000",
="00632R","元大台灣50反1   ","550,000","3,995,000","-3,445,000","0","0","0","0","0","0","9,940,000","1,872,000","6,051,000","-4,179,000","20,653,000","6,534,000","14,119,000","6,495,000",
="054400","健策永豐96購02  ","0","0","0","0","0","0","0","0","0","6,318,000","0","0","0","6,706,000","388,000","6,318,000","6,318,000",
="00634R","富邦上証反1     ","4,816,000","0","4,816,000","0","0","0","0","0","0","1,128,000","600,000","400,000","200,000","2,084,000","1,156,000","928,000","5,944,000",
="00643","群益深証中小    ","5,951,000","44,000","5,907,000","0","0","0","0","0","0","-547,000","10,000","10,000","0","1,087,000","1,634,000","-547,000","5,360,000",
"1909","榮成            ","4,277,000","2,676,000","1,601,000","0","0","0","802,000","1,000","801,000","2,691,000","2,791,000","100,000","2,691,000","0","0","0","5,093,000",
