日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
109/01/02,2797693,313544451,112.5,113.0,111.5,112.5,0.5,1036
109/01/03,4297975,482319675,112.5,112.5,112.0,112.5,0.0,1900
109/01/06,4203858,467414647,112.0,112.0,110.5,110.5,-2.0,2259
109/01/07,11932990,1308443900,110.5,111.0,109.0,109.5,-1.0,3839
109/01/08,6060571,662027810,109.5,110.0,108.5,109.5,0.0,2877
109/01/09,5292412,582516997,109.5,110.5,109.0,110.0,0.5,2625
109/01/10,3697896,405982560,110.0,110.0,109.5,109.5,-0.5,1564
109/01/13,13509666,1468769904,109.5,110.0,108.0,109.0,-0.5,4194
109/01/14,5593979,607050211,108.5,109.0,108.0,108.5,-0.5,3074
109/01/15,7583824,817435316,108.5,108.5,107.5,108.0,-0.5,3180
109/01/16,4056168,438316812,108.0,108.5,107.5,108.0,0.0,2052
109/01/17,3290668,357388625,108.0,109.0,108.0,109.0,1.0,1242
109/01/20,2866907,311929363,109.0,109.0,108.5,108.5,-0.5,1194
109/01/30,9538226,1025677408,108.5,109.0,107.0,107.0,-1.5,4170
109/01/31,6893194,742936952,107.0,108.5,107.0,107.0,0.0,2214
109/02/03,3786612,407973386,107.0,108.0,107.0,108.0,1.0,2224
109/02/04,3209736,345878988,107.5,108.0,107.5,107.5,-0.5,1207
109/02/05,4594312,496548340,107.5,108.5,107.5,108.0,0.5,2237
109/02/06,3477076,377627284,108.5,109.0,108.0,108.5,0.5,1690
109/02/07,3251917,350435036,108.5,108.5,107.5,107.5,-1.0,1930
109/02/10,3426491,369697766,108.0,108.0,107.5,108.0,0.5,1715
109/02/11,2712988,292924204,108.0,108.5,107.5,107.5,-0.5,1485
109/02/12,7132170,766595360,107.5,108.0,107.0,107.0,-0.5,3051
109/02/13,2611001,281274097,107.5,108.0,107.5,108.0,1.0,1047
109/02/14,2201294,238675046,108.0,109.0,107.5,109.0,1.0,1078
109/02/17,2302888,251108723,108.5,109.5,108.5,109.5,0.5,1399
109/02/18,3847643,419675587,109.5,109.5,108.5,108.5,-1.0,1971
109/02/19,3114523,338791507,109.0,109.5,108.5,108.5,0.0,1407
109/02/20,4392107,478188663,109.0,109.5,108.5,108.5,0.0,1173
109/02/21,3985815,432493835,109.0,109.0,108.0,108.5,0.0,1482
109/02/24,10409416,1115882699,108.0,108.5,106.5,106.5,-2.0,4716
109/02/25,4708502,501056214,106.5,107.0,106.0,106.5,0.0,2495
109/02/26,7730537,816787922,106.0,106.5,105.0,105.5,-1.0,4195
109/02/27,5159121,542521246,105.0,105.5,105.0,105.0,-0.5,2425
109/03/02,11591409,1199298036,104.5,104.5,102.5,103.0,-2.0,6215
109/03/03,7240224,751259100,103.5,104.5,103.0,104.5,1.5,2696
109/03/04,5486465,581564255,104.0,107.0,104.0,107.0,2.5,2663
109/03/05,4649568,500020608,107.0,108.5,107.0,108.5,1.5,2273
109/03/06,6259884,664234134,107.5,107.5,105.0,106.0,-2.5,2927
109/03/09,6704491,697867564,104.5,104.5,103.5,104.0,-2.0,4331
109/03/10,6513824,682886918,103.0,106.5,103.0,106.0,2.0,3798
109/03/11,4511865,474207750,105.5,105.5,104.5,105.5,-0.5,2388
109/03/12,6640280,692242400,104.5,105.5,103.5,105.5,0.0,3604
109/03/13,11906875,1215918000,103.0,105.0,99.2,105.0,-0.5,5771
