日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
109/07/01,16849718,724826902,42.75,43.20,42.70,43.10,+0.35,7420
109/07/02,18208381,792183247,43.20,43.70,43.00,43.60,+0.50,6053
109/07/03,20191659,886893826,43.80,44.05,43.80,43.95,+0.35,5748
109/07/06,21176594,939084941,44.00,44.50,44.00,44.40,+0.45,8005
109/07/07,19194610,850838356,44.40,44.55,44.05,44.50,+0.10,6925
109/07/08,23461258,1054913481,44.40,45.15,44.35,45.15,+0.65,8787
109/07/09,21763786,986948925,45.40,45.45,45.15,45.30,+0.15,7650
109/07/10,17481909,789085576,45.30,45.35,44.95,44.95,-0.35,6227
109/07/13,13284482,599667540,45.00,45.30,44.90,45.20,+0.25,4475
109/07/14,12095615,547237928,45.10,45.40,45.05,45.30,+0.10,4083
109/07/15,26551742,1209835417,45.40,45.75,45.30,45.60,+0.30,6106
109/07/16,36668838,1638986350,45.45,45.45,44.40,44.50,-1.10,11916
109/07/17,14423247,647163369,44.85,45.10,44.65,44.80,+0.30,5956
109/07/20,15003737,676857015,44.80,45.25,44.75,45.10,+0.30,4973
109/07/21,31577801,1439901509,45.25,45.80,45.20,45.55,+0.45,8427
109/07/22,16703486,759777371,45.40,45.75,45.30,45.50,-0.05,7502
109/07/23,14367522,654266106,45.50,45.65,45.20,45.60,+0.10,5572
109/07/24,11746156,531616970,45.30,45.45,45.00,45.00,-0.60,4674
109/07/27,13606623,609540860,44.95,45.25,44.60,44.60,-0.40,4669
109/07/28,18757943,834387411,44.40,44.95,44.00,44.50,-0.10,6219
109/07/29,17660823,796400935,44.50,45.25,44.35,45.05,+0.55,5792
109/07/30,10024771,453239486,45.20,45.40,44.95,45.35,+0.30,3433
109/07/31,11621829,525614955,45.35,45.50,45.00,45.00,-0.35,5178
